Parameters:TimeZone=America/Sao_Paulo
Google Click ID,Conversion Name,Conversion Time,Conversion Value,Conversion Currency
"Cj0KCQjw4JbTBhCoARIsALWUaBs6FtKp7oCQh9KjA-yGfpO1vYOEYHMsv9ByuDInEXO6WJseZQvRC8kaAtFiEALw_wcB","Cadastro","2026-07-26 15:02:39","",""
"Cj0KCQjw4JbTBhCoARIsALWUaBv7_1lV8Ta9tYBGOA7jCCbf-lffAJ7IWW4xkwki5l2_FFD_say8QJQaArnvEALw_wcB","Cadastro","2026-07-26 15:25:58","",""
"Cj0KCQjw4JbTBhCoARIsALWUaBu6w88K74gp_OBW9UMwl_9zYPiAIBGEsh2K3YpuEowReGJQTTfiOaUaArBFEALw_wcB","Cadastro","2026-07-26 15:35:59","",""
"Cj0KCQjw4JbTBhCoARIsALWUaBvuvFRyIov7CIFe-HViD0Ak3K4tn3y9Q2B90u4acKHUKmjYVE91MagaAj00EALw_wcB","Cadastro","2026-07-26 16:00:10","",""
"Cj0KCQjw4JbTBhCoARIsALWUaBs--eu_wCGc2LYENmHUXy6Hyi5zbOgeF8852qyhmw3W5b3LVZDVBboaAoGqEALw_wcB","Cadastro","2026-07-27 00:20:35","",""
"Cj0KCQjw4JbTBhCoARIsALWUaBtfkH37rScV8Stnp1WsE6701ZOY46IBCUHGeQstLNbdwplkSdIrd_AaAs4ZEALw_wcB","Cadastro","2026-07-27 01:12:57","",""
"Cj0KCQjwg5zTBhCLARIsAP2AFU4Jy4esCfsLTlX_kg0o6EUSoEimj3HiUvGaOrBorX99GSUZ9KzPs4YaAtXJEALw_wcB","Cadastro","2026-07-27 06:07:33","",""
"Cj0KCQjwg5zTBhCLARIsAP2AFU55JKcp2fFkFekVocaXGyZxffLXcXVeodtXjYFBEhAzttHcLahxQ2oaAuD9EALw_wcB","Cadastro","2026-07-27 07:37:13","",""
"Cj0KCQjwg5zTBhCLARIsAP2AFU50PiXC5JO2_5fkyMqdRgimsVdF5jDVc8YD3Rk-cO1U3RzJ5HaX1B8aAqJ6EALw_wcB","Cadastro","2026-07-27 09:57:22","",""
"Cj0KCQjwg5zTBhCLARIsAP2AFU4A3rZZZR6lXJvQ2GVtkL6ShWT15zp8TAkBgekPSrQJyIxXcLLizK8aAlEqEALw_wcB","Cadastro","2026-07-27 11:48:35","",""
"Cj0KCQjwg5zTBhCLARIsAP2AFU5myWf62HK42OYxBFFljgBgFixO-rTtyDqJ6VhfZ5H6b7kv3yhH_z0aAs49EALw_wcB","Cadastro","2026-07-27 12:35:13","",""
"Cj0KCQjwg5zTBhCLARIsAP2AFU59EfZE0ztW7UspOq_KMexBES_hpJBVZccpvdnrf-xWvm2ziANxDaMaAvaNEALw_wcB","Cadastro","2026-07-27 13:22:49","",""
"Cj0KCQjwg5zTBhCLARIsAP2AFU6x8yf973cRB7LLiaEimVD15sDYoeHZxR-ghfDWtclsJ1QHF-IRHpUaAmH9EALw_wcB","Cadastro","2026-07-27 13:33:18","",""
"Cj0KCQjwg5zTBhCLARIsAP2AFU4ueUQnhFBbnB9lNooVzRAjhY_my1BliQKCXbADmI5yfwMkJzFITmkaAvu0EALw_wcB","Cadastro","2026-07-27 14:03:06","",""
"Cj0KCQjwg5zTBhCLARIsAP2AFU6z_8JN2kPz8dKZpyT_V7xe-tCUE6uy_lu4PEbxVHyhr93Nfy_rkPQaAu-QEALw_wcB","Cadastro","2026-07-27 14:58:28","",""
"Cj0KCQjwg5zTBhCLARIsAP2AFU5V7TXXYFIIOUEFVHmkMilz9c8gxGFOzz3zthRjWoa2-v5BKBEejGQaAn6UEALw_wcB","Cadastro","2026-07-27 20:35:24","",""
"Cj0KCQjwg5zTBhCLARIsAP2AFU4IZdjQ-PgZS9MhwhCflTCn6u_xvAok-z3k-0UdiuqoyWT_GUg37UAaAmojEALw_wcB","Cadastro","2026-07-27 21:29:23","",""
"Cj0KCQjwg5zTBhCLARIsAP2AFU73JOMJ_nFKGr-ICqYpRF_Zl2Fs6BJSpdcRLvTCnZRrmeWCFVpENzoaAgugEALw_wcB","Cadastro","2026-07-28 00:45:51","",""
"Cj0KCQjwg5zTBhCLARIsAP2AFU7am97oF84m8ON3eEz42aG2JzlIXHJD8oxhSc-zPWULww7KSc6zeeAaAmazEALw_wcB","Cadastro","2026-07-28 01:14:59","",""
"Cj0KCQjwg5zTBhCLARIsAP2AFU7sTsUYyjEZHX8CbveXyu4LjZYB2Wx2fKH1wX0WtA0vosdsCWDGV2IaAkLOEALw_wcB","Cadastro","2026-07-28 02:01:09","",""
"CjwKCAjwpqHTBhAcEiwAj2AfupbShBjKYvdAxe2RAheMhhd0qLolub4ZpzD7P9__S2oUl-8b9lYDHBoCz_0QAvD_BwE","Cadastro","2026-07-28 09:29:46","",""
"CjwKCAjwpqHTBhAcEiwAj2AfumfxpIRvWVa_Y8u5kQseAPqJAF9F3NXuUKnIrT7g5GObw1pyJDbqBBoCNh0QAvD_BwE","Cadastro","2026-07-28 10:15:40","",""
"CjwKCAjwpqHTBhAcEiwAj2Afupq0VliXfX1jPiHwCy5vuWAMRcaqKYs68GOHeYwpfOssWKjBCkZ3aRoC8BMQAvD_BwE","Cadastro","2026-07-28 10:41:28","",""
"CjwKCAjwpqHTBhAcEiwAj2AfurDuDLw8I1m8pheJBggCEcQN7VovDF-5d_6PRAtImFSrZ2mgt65KThoCcUsQAvD_BwE","Cadastro","2026-07-28 10:44:32","",""
"EAIaIQobChMI14GG7sX1lQMVuWFIAB1afjPoEAAYASAAEgILUfD_BwE","Cadastro","2026-07-28 11:08:28","",""
"CjwKCAjwpqHTBhAcEiwAj2AfugZlRvHJ8DCOKyxz2iFcTQ71bf19MGYgy6HHLIZSh5AtHqcUi2Z5PxoCs2QQAvD_BwE","Cadastro","2026-07-28 11:54:15","",""
"CjwKCAjwpqHTBhAcEiwAj2AfustvCh7FWAUkRMPD5bMgNax3a_PbNGRM_9o5eedlFeycDRP5Y-Wi4RoC6gUQAvD_BwE","Cadastro","2026-07-28 12:15:05","",""
"CjwKCAjwpqHTBhAcEiwAj2AfulRZIuja0B1BEyBlhOxFJd5xTd4qwO2fUDe8M0-9-aHcgkGV_qe5shoCIskQAvD_BwE","Cadastro","2026-07-29 00:21:53","",""
"CjwKCAjwyabTBhBFEiwAM3mNUAmRf6AvRBpKagtuQze1ivmQ0WG-K0E6ukct0_qGjWWmZGayhxR4pRoC3NcQAvD_BwE","Cadastro","2026-07-29 07:03:56","",""
"CjwKCAjwyabTBhBFEiwAM3mNUN70PWZzEocpjyodjSPI-kPb0BxfyXjFwg-X8cmjRkTtIqYoKyMfQxoCEfUQAvD_BwE","Cadastro","2026-07-29 09:24:20","",""
"CjwKCAjwyabTBhBFEiwAM3mNUHEbA8mBOKVpM0LWCsmdZe3n5kVcn3TGzIqDQxAL85MP6FgZcVunQhoCzVAQAvD_BwE","Cadastro","2026-07-29 10:08:41","",""
"CjwKCAjwyabTBhBFEiwAM3mNUNlGVFQgrVLM4r6UG8-y-Y0Jmfu5wfKI16BCTG3jVB6Yo0PkwV51txoCtlQQAvD_BwE","Cadastro","2026-07-29 12:20:01","",""
"CjwKCAjwyabTBhBFEiwAM3mNUJKehpH5CS3Z8DFegsYc2ML1p_d-6LK2TnMdnju0-KdnctfONOInRRoCp-oQAvD_BwE","Cadastro","2026-07-29 14:40:40","",""
"CjwKCAjwyabTBhBFEiwAM3mNULKmykoBFva2Am6K2VqsV-ZVJhSBrkzHYntm4bGgU6J0ePyiq9YIPRoC54cQAvD_BwE","Cadastro","2026-07-29 15:07:32","",""
"CjwKCAjwyabTBhBFEiwAM3mNULVIm4nnzcMfFl0eUdhNAFjanPwFp5n56w4Us-b9cCxnbpWe34MpvRoCHDoQAvD_BwE","Cadastro","2026-07-29 18:28:16","",""
"CjwKCAjwyabTBhBFEiwAM3mNUJ_d8y0qfN_EZlpOUfdAi1_EYoV4CQTZGSPFtIcXzL__sV2dJs1tnBoCw5sQAvD_BwE","Cadastro","2026-07-29 20:04:48","",""
"CjwKCAjwyabTBhBFEiwAM3mNUMgtOJWP9YwGFY8bxR49RkAU-9zqQdBHW49PhuluPLK7FgwDuuDk5hoC1McQAvD_BwE","Cadastro","2026-07-30 00:03:16","",""
"CjwKCAjwyabTBhBFEiwAM3mNUPmBu7GMTW6G1rfSW1x6Z2p3IAfw7fhxmE09UMKTm0evDCo8nvbrNxoC5gYQAvD_BwE","Cadastro","2026-07-30 00:11:50","",""
"CjwKCAjw7KvTBhA6EiwAWnutYRkH4UfMSoi_Rx3fP9U0rUSeu5mVKgvTl1Mmx7K9Fx5d1dsqyS0IVBoC3Z0QAvD_BwE","Cadastro","2026-07-30 08:39:15","",""
"CjwKCAjw7KvTBhA6EiwAWnutYQREA7YL9xVIGgmQG8PksuuNgkYFaIKOIqbZVeV3RAX6paGyN2MnpRoCc8gQAvD_BwE","Cadastro","2026-07-30 11:39:44","",""
"CjwKCAjw7KvTBhA6EiwAWnutYQi2MhfdlgMuXLEqusFdfaJJt1JicpmIm2iOB025st56YcEw3FHVIxoCGgEQAvD_BwE","Cadastro","2026-07-30 13:06:07","",""
"CjwKCAjw7KvTBhA6EiwAWnutYT9zXWJzcS4ADyZj0S2r5UNUACeA5h59OeoTweX1Qr_1YdmpVLQoPxoCZX4QAvD_BwE","Cadastro","2026-07-30 13:58:01","",""
"CjwKCAjw7KvTBhA6EiwAWnutYdPd6OUhDsxOGec_TjAo7xCuIKla2-CkSnG7M7K-5xsF61nTxFq2XRoCYioQAvD_BwE","Cadastro","2026-07-30 14:12:46","",""
"CjwKCAjw7KvTBhA6EiwAWnutYVdRoVSyKPOiipmYt9acYTn8F9bQqXG27BuRGSoicoMsfzzUb9MRcBoCqqMQAvD_BwE","Cadastro","2026-07-31 00:57:46","",""
"CjwKCAjwj7HTBhBiEiwA8s35OuZ14vfxRhRF-gTvv2PbvXKZ7ItoKfrTOW6Uufu4RGG-MIvSz-EnTBoCq0QQAvD_BwE","Cadastro","2026-07-31 08:23:30","",""
"EAIaIQobChMIz9z20In9lQMVu1pIAB3M-xGsEAAYASAAEgKFEvD_BwE","Cadastro","2026-07-31 11:01:08","",""
"CjwKCAjwj7HTBhBiEiwA8s35OpN0nkcoezAPU7U0v9hZVjoNgXtqglKvOEuEHYN8kdvZw8Lr5wAIdhoCOQsQAvD_BwE","Cadastro","2026-07-31 11:27:18","",""
"CjwKCAjwj7HTBhBiEiwA8s35Oo7p3MVnVRQ7jzwBs253_9uORkrQQliL3V7ik7h7As72RmXiEWApnRoCtWYQAvD_BwE","Cadastro","2026-07-31 11:27:30","",""
"CjwKCAjwj7HTBhBiEiwA8s35Ol-4hIrb22kc2gpon-ibIbY8Xj-miw_6EnK288vC0NLseb2hP7VYCRoCDuAQAvD_BwE","Cadastro","2026-07-31 12:03:50","",""
